,Amsterdam,Atlanta,Austin,Baltimore,Bangalore,Boston,Brussels,Bursa,Chicago,Christchurch,ColoradoSprings,Columbus,Dallas,Denver,Dronten,Dublin,Dusseldorf,Falkenstein,Frankfurt,Halifax,Hamburg,Helsinki,HoChiMinhCity,Houston,Jacksonville,Kazan,Kiev,Knoxville,Lincoln,Ljubljana,London,LosAngeles,Madrid,Melbourne,Miami,Montreal,Moscow,Munich,NewYork,Nuremberg,Oslo,Paris,Perth,Philadelphia,Pittsburgh,Portland,Rome,Roubaix,Sacramento,SaltLakeCity,SanAntonio,SanDiego,SanFrancisco,SanJose,Savannah,Seattle,Seoul,Singapore,Sofia,Stockholm,Strasbourg,Sydney,Taipei,Tampa,Tokyo,Toronto,Vancouver,Vienna,Vilnius,Washington,Zurich
Amsterdam,1,95.21,115.59,89.74,174.8,87.99,4.94,51.26,96.1,311.11,116.85,100.66,115.48,117.89,3.48,17.05,5.63,12.67,13.6,83.27,14.67,31.66,197.82,107.52,108.67,59.53,44.15,162.3,110.84,26.73,6.72,139.15,28.62,250.97,111.72,80.55,44.18,15.09,77.38,11.23,25.44,11.56,201.85,77.18,97.06,147.7,17.25,20.66,154.62,126.49,125.2,139.94,147.59,148.3,127.23,152.04,267.81,168.24,33.93,21.53,11.73,255.88,248.6,110.02,239.93,91.1,149.34,19.01,37.38,82.81,17.17
Atlanta,95.06,1,29.77,23.86,261.18,24.65,93.39,145.53,19.27,208.91,34.66,34.35,22.65,38.01,96.29,100.66,104.82,101.88,101,36.64,107.63,115.91,225.76,18.73,9.89,151.67,137.85,65.82,29.14,109.05,89.35,47.89,103.01,219.92,15.15,31.16,139.51,107.5,17.99,99.24,119.88,98.82,263.33,21.23,28.45,66.68,105.07,104.78,59.4,45.02,21.75,48.18,58.22,58.62,30.08,71.62,186.15,245.86,122.52,120.48,103.78,208.18,267.75,13.02,146.87,27.61,61.14,106.86,117.61,12.94,109.57
Austin,115.59,29.62,1,54.01,255.87,47.89,124.89,180.29,30.93,194.09,33.2,35.8,8.91,24.73,113.12,100.87,118.88,125.66,123.63,56.18,126.74,132.02,294.21,56.03,34.69,166.91,148.11,109.6,29.66,134.12,116.76,38.09,119.25,221.74,41.43,47.3,155.43,134.91,45.94,124.31,128.35,120.71,273.88,50.63,38.86,64.23,131.59,126.58,60.45,42.03,13.78,72.99,74.82,45.16,62.4,55.54,171.65,244.97,147.58,131.5,121.26,210.39,202.19,97.13,136.53,38.06,57.49,129.36,142.71,37.13,123.47
Baltimore,89.22,24.56,53.99,1,247.18,14.56,90.09,140.54,29.46,200.12,51.33,27.27,38.99,48.21,84.68,89.49,87.33,93.44,93.61,25.4,94.83,100.4,244.72,32.13,21.84,132.14,121.92,83.66,50.18,104.94,79.47,72.31,98.24,235.16,36.99,14.76,127.76,95.99,9.24,91.84,109.65,78.37,286.48,4.68,15.41,77.19,96.89,91.22,77.22,60.14,52.46,67.17,80.49,78.8,54.97,73.97,221.59,239.47,121.69,109.27,90.39,212.61,220.53,38.86,166.56,23.78,78.37,103.92,109.03,8.18,107.92
Bangalore,174.9,261.36,255.92,247.81,1,289.64,294.77,287.41,268.46,356.82,252.37,282.96,248.59,252.1,175.96,185.24,256.47,270.4,175.2,263.42,177.71,197.02,69.64,255.22,266.28,310.41,262.8,317.13,251.42,193.71,219.89,251.29,159.02,119.8,262.15,267.81,274.27,180.6,243.2,272.81,196.79,170.45,83.62,290.33,256.6,255.83,172.91,269.44,264.74,243,256.91,226.57,225.99,210.18,304.58,261.63,262.12,39.73,185.28,267.91,274.3,129.27,94.14,283.79,117.32,232.59,270.91,173.76,197.88,228.26,175.64
Boston,86.24,23.88,45.98,13.79,290.25,1,88.32,139.29,25.27,209.84,42.95,28.12,40.24,47.88,82.98,85.22,84.99,89.17,98.97,19.71,84.94,98.21,275.94,36.62,34.86,125.14,113.8,88.47,35.03,99.81,78.24,73.52,103.05,230.94,36.17,13.59,133.06,90.32,9.12,83.16,111.27,81.22,285.6,9.94,21.21,69.21,104.87,82.4,75.33,58.16,47.52,67.23,75.75,68.73,53.98,67.7,199.03,258.39,111.71,94.62,96.44,221.02,238.21,36.82,183.8,19.2,72.5,102.37,109.46,12.01,107.25
Brussels,4.56,94.07,123.44,89.67,294.71,89.32,1,59.19,99.25,288.89,127.81,103.07,114.44,121.6,6.13,22.94,7.5,19.94,16.05,107.26,13.14,31.96,310.5,108.9,100.12,69.35,38.51,161.33,126.92,24.56,10.37,137.86,27.58,253.86,103.86,93.03,46.96,15.95,78.45,16.04,24.27,17.37,224.37,83.86,103.47,145.92,18.82,21.38,150.33,138.8,119.14,144.42,150.2,145.56,121.63,142.96,273.89,305.27,34.46,25.98,16.72,260.09,299.01,112.28,234.5,97,154.51,21.36,30.33,84.21,19.85
Bursa,51.18,145.24,180.38,140.97,287.02,141.6,58.53,1,143.27,328.72,176.57,146.8,169.82,172.47,62.15,68.63,45.52,52.84,47.97,144.13,59.04,88.96,291.91,159.06,150.75,122.47,71.47,212.4,164.19,65.29,48.51,187.7,69.28,310.34,162.63,134.77,80.8,63.41,129.63,53.44,66.1,53.92,245.15,122.82,150.11,182.38,51.51,67.61,205.94,192.57,171.07,195.17,197.77,193.13,167.47,191.32,257.25,256.17,68.81,67.89,47.65,305.04,243.42,162.1,283.73,151.01,208.36,45.72,91.3,129.47,51.02
Chicago,95.76,20.66,31.34,28.83,256.6,25.54,100.58,141.46,1,203.18,27.19,12.47,36.32,25.97,103.49,98.49,105.38,103.78,94.79,33.45,100.43,122.48,222.87,29,26.84,153.05,158.92,86.77,42.43,121.69,83.79,58.69,94.42,215.23,31.6,22.46,137.65,106.67,21.11,103.99,120.11,92.93,271.01,22.1,11.26,58.59,119.64,100.09,54.72,35.89,37.17,55.6,49.78,51.28,48.88,55.2,180.97,215.6,126.44,108.1,101.56,203.67,211.67,38.65,157.17,15.25,59.45,115.67,127.29,22.03,109.98
Christchurch,311.19,209.93,195.86,200.09,356.78,210.19,288.85,329.21,202.98,1,172.17,211.92,171.77,177.92,301.34,297.91,303.07,309.33,314.26,227.71,297.78,303.8,328.83,176.85,197.7,352.49,327.78,255.15,181.33,310.14,285.19,159.74,307.18,58.25,226.93,222.5,335.98,296.49,211.29,317.65,321.54,292.98,91.97,222.39,209.86,162.62,301.21,309.68,158.09,170.28,208.8,167.76,173.33,153.19,223.73,171.57,280.46,134.24,339.62,325.39,340.47,46.44,322.56,222.09,247.5,227.8,178.15,328.46,303.56,217.2,298.47
