CityUnique,Lat,Lon
London,51.507351,-0.127758
Amsterdam,52.367984,4.903561
Frankfurt,50.110922,8.682127
Toronto,43.653226,-79.383184
Singapore,1.352083,103.819836
SanJose,37.338208,-121.886329
NewYork,40.712775,-74.005973
Washington,38.907192,-77.036871
Perth,-31.950527,115.860457
Nuremberg,49.452102,11.076665
Lincoln,35.949526,-94.423548
Savannah,32.080899,-81.091203
Sydney,-33.86882,151.209296
Bangalore,12.971599,77.594563
Tokyo,35.689488,139.691706
Madrid,40.416775,-3.70379
Brussels,50.850346,4.351721
Dublin,53.349805,-6.26031
Seoul,37.566535,126.977969
Helsinki,60.169856,24.938379
Knoxville,35.960638,-83.920739
LosAngeles,34.052234,-118.243685
Tampa,27.950575,-82.457178
Sacramento,38.581572,-121.4944
Zurich,47.376887,8.541694
Portland,45.512231,-122.658719
Jacksonville,30.332184,-81.655651
Boston,42.360083,-71.05888
SanDiego,32.715738,-117.161084
Kiev,50.4501,30.5234
Columbus,39.961176,-82.998794
Melbourne,-37.813628,144.963058
SaltLakeCity,40.760779,-111.891047
Montreal,45.501689,-73.567256
ColoradoSprings,38.833882,-104.821363
Sofia,42.697708,23.321868
Baltimore,39.290385,-76.612189
Austin,30.267153,-97.743061
Roubaix,50.692705,3.177847
HoChiMinhCity,10.823099,106.629664
Halifax,44.648764,-63.575239
Stockholm,59.329323,18.068581
Oslo,59.913869,10.752245
Moscow,55.755826,37.6173
Bursa,40.188528,29.060964
Dusseldorf,51.227741,6.773456
Falkenstein,50.475005,12.364975
Christchurch,-43.532054,172.636225
Denver,39.739236,-104.990251
Kazan,55.830431,49.066081
Houston,29.760427,-95.369803
Rome,41.902784,12.496366
Strasbourg,48.573405,7.752111
Hamburg,53.551085,9.993682
Taipei,25.032969,121.565418
Seattle,47.60621,-122.332071
Dronten,52.523516,5.717889
Chicago,41.878114,-87.629798
Vancouver,49.282729,-123.120738
Philadelphia,39.952584,-75.165222
Munich,48.135125,11.58198
Atlanta,33.748995,-84.387982
Paris,48.856614,2.352222
SanFrancisco,37.77493,-122.419416
SanAntonio,29.424122,-98.493628
Ljubljana,46.056947,14.505751
Pittsburgh,40.440625,-79.995886
Dallas,32.776664,-96.796988
Miami,25.76168,-80.19179
Vilnius,54.687156,25.279651
Vienna,48.208174,16.373819
